Wall time,Step,Value
1652062302.0356903,856000,-92.98211669921875
1652062433.6915264,860000,-92.97637939453125
1652062560.2801802,864000,-92.99201965332031
1652062684.856309,868000,-93.01061248779297
1652062803.3850095,872000,-93.03748321533203
1652062925.055362,876000,-93.05004119873047
1652063036.302852,880000,-93.0602798461914
1652063150.8000164,884000,-93.05998229980469
1652063272.680524,888000,-93.06683349609375
1652063389.8756087,892000,-93.0758285522461
1652063518.6361618,896000,-93.08541870117188
1652063636.0255458,900000,-93.06684875488281
1652063753.7841208,904000,-93.03654479980469
1652063868.0296617,908000,-93.01359558105469
1652063977.3352685,912000,-93.028564453125
1652064086.8509972,916000,-93.05847930908203
1652064196.2148833,920000,-93.08551025390625
1652064307.0767233,924000,-93.09204864501953
1652064415.1186974,928000,-93.06071472167969
1652064524.24897,932000,-93.0779037475586
1652064633.5323749,936000,-93.11807250976562
1652064744.5854745,940000,-93.1447982788086
1652064854.9464478,944000,-93.13762664794922
1652064963.7791605,948000,-93.16126251220703
1652065072.332083,952000,-93.18014526367188
1652065181.0463364,956000,-93.17276000976562
1652065289.1560183,960000,-93.17245483398438
1652065398.0605445,964000,-93.16954803466797
1652065507.3068764,968000,-93.16972351074219
1652065615.8468175,972000,-93.13030242919922
1652065725.4543073,976000,-93.13613891601562
1652065837.7799523,980000,-93.1374740600586
1652065953.3079588,984000,-93.13560485839844
1652066070.348938,988000,-93.13968658447266
1652066189.1797535,992000,-93.1407241821289
1652066305.5160005,996000,-93.13220977783203
1652066422.5712132,1000000,-93.14486694335938
