Wall time,Step,Value
1652074586.4720316,2048,-53.69873046875
1652074608.5691066,4096,-49.75071716308594
1652074627.9446208,6144,-48.92985916137695
1652074647.7963295,8192,-52.38020324707031
1652074667.6993349,10240,-54.99543380737305
1652074685.997697,12288,-57.33930587768555
1652074705.0432522,14336,-58.48094940185547
1652074722.4775825,16384,-59.843284606933594
1652074739.631328,18432,-61.05695343017578
1652074757.3452926,20480,-62.375083923339844
1652074774.9447432,22528,-63.05047607421875
1652074793.136895,24576,-64.03007507324219
1652074812.2512343,26624,-64.78352355957031
1652074830.6451044,28672,-64.26133728027344
1652074849.007342,30720,-64.80049133300781
1652074867.3764644,32768,-65.68898010253906
1652074885.7723317,34816,-66.47100067138672
1652074904.1782775,36864,-66.68545532226562
1652074923.876571,38912,-66.8910140991211
1652074942.6689024,40960,-67.1039810180664
1652074961.0472906,43008,-67.23832702636719
1652074979.0514917,45056,-66.35821533203125
1652074997.3307827,47104,-66.37628173828125
1652075015.4560647,49152,-65.0086669921875
1652075034.0704536,51200,-62.33266830444336
1652075052.8203194,53248,-60.418148040771484
1652075070.4801176,55296,-58.78911590576172
1652075088.7545063,57344,-54.09890365600586
1652075106.994454,59392,-52.20113754272461
1652075125.2065449,61440,-46.43754959106445
1652075143.4747725,63488,-43.73905944824219
1652075161.7628396,65536,-40.77876281738281
1652075180.0842655,67584,-39.79352569580078
1652075198.4161835,69632,-35.90935134887695
1652075217.359737,71680,-29.049821853637695
1652075235.8532214,73728,-21.55496597290039
1652075254.200511,75776,-16.658781051635742
1652075272.5821197,77824,-12.537782669067383
1652075290.9612513,79872,-4.811901092529297
1652075309.4346063,81920,-0.9486410021781921
1652075327.726093,83968,5.3756608963012695
1652075346.287868,86016,9.632083892822266
1652075365.0675821,88064,14.47896957397461
1652075383.9461267,90112,17.8248348236084
1652075402.4800699,92160,19.374544143676758
1652075421.5956335,94208,22.394996643066406
1652075440.1771479,96256,26.53782081604004
1652075458.5643058,98304,31.02571678161621
1652075476.887126,100352,34.043365478515625
1652075494.9792309,102400,39.99732971191406
1652075513.8450782,104448,45.250057220458984
1652075532.5718484,106496,47.98414993286133
1652075550.9252496,108544,52.7735595703125
1652075569.451672,110592,54.547821044921875
1652075588.2653496,112640,57.70488739013672
1652075606.460654,114688,61.2197151184082
1652075625.141784,116736,64.76204681396484
1652075643.4557388,118784,72.93538665771484
1652075661.8217235,120832,76.76039123535156
1652075680.001467,122880,82.88971710205078
1652075698.5756047,124928,88.34233093261719
1652075716.9061763,126976,93.07923889160156
1652075735.1024785,129024,102.23009490966797
1652075753.59687,131072,113.64131164550781
1652075772.349608,133120,121.61215209960938
1652075790.717901,135168,130.27149963378906
1652075809.2196524,137216,139.4053955078125
1652075827.504769,139264,147.40194702148438
1652075845.9183612,141312,158.61549377441406
1652075864.4012809,143360,168.0784149169922
1652075882.80082,145408,172.5561065673828
1652075901.5590382,147456,176.54185485839844
1652075920.232925,149504,182.5225372314453
1652075938.6805732,151552,189.36874389648438
1652075956.9236138,153600,193.86251831054688
1652075975.177391,155648,199.32919311523438
1652075993.5733964,157696,204.13287353515625
1652076012.0615656,159744,214.22198486328125
1652076030.4842849,161792,214.44056701660156
1652076049.0035682,163840,221.05209350585938
1652076067.144678,165888,223.02952575683594
1652076086.9271493,167936,231.03744506835938
1652076107.4637325,169984,234.0555877685547
1652076128.2464302,172032,235.49237060546875
1652076148.972133,174080,241.4637908935547
1652076169.4810755,176128,247.8168182373047
1652076190.018767,178176,252.6722412109375
1652076210.2898164,180224,250.36972045898438
1652076230.3937747,182272,249.90277099609375
1652076250.4556923,184320,249.55645751953125
1652076270.0832603,186368,253.60491943359375
1652076290.0973005,188416,251.70468139648438
1652076309.869129,190464,251.13223266601562
1652076329.6984546,192512,258.3373107910156
1652076349.430939,194560,260.96160888671875
1652076369.1165257,196608,266.1583251953125
1652076388.9395494,198656,268.9028015136719
1652076408.7671766,200704,270.36279296875
1652076428.7371402,202752,272.267578125
1652076448.6074963,204800,273.0187072753906
1652076468.7956214,206848,278.97271728515625
1652076488.7713575,208896,287.2935791015625
1652076508.1726418,210944,299.8064270019531
1652076528.9496174,212992,308.7327880859375
1652076550.247602,215040,317.17596435546875
1652076570.0497577,217088,320.7923889160156
1652076589.8976524,219136,330.79296875
1652076609.9165795,221184,332.1246337890625
1652076629.7416868,223232,339.0828857421875
1652076649.4746232,225280,348.5486755371094
1652076669.33009,227328,356.1684875488281
1652076688.8439295,229376,355.7582092285156
1652076708.6679122,231424,350.7005615234375
1652076728.5130107,233472,352.1094055175781
1652076748.424154,235520,355.5457763671875
1652076768.5090675,237568,359.9491882324219
1652076788.71648,239616,357.6392517089844
1652076808.6707108,241664,355.4981994628906
1652076829.0405676,243712,355.6149597167969
1652076849.2164946,245760,364.5023193359375
1652076869.2562447,247808,366.82757568359375
1652076889.384017,249856,374.905029296875
1652076909.6129334,251904,376.4241027832031
1652076929.7465582,253952,379.057861328125
1652076950.1577182,256000,380.3218688964844
1652076971.0342982,258048,383.0140380859375
1652076991.5291514,260096,388.3565673828125
1652077012.0395796,262144,400.5108947753906
1652077032.1815605,264192,414.4254150390625
1652077051.967247,266240,412.77374267578125
1652077071.8940914,268288,417.0779724121094
1652077091.7294314,270336,425.0829162597656
1652077111.3606775,272384,433.3630065917969
1652077131.0166745,274432,436.8462829589844
1652077151.0537353,276480,443.8225402832031
1652077170.655013,278528,450.459716796875
1652077190.415269,280576,460.53643798828125
1652077210.5239482,282624,469.9197998046875
1652077230.4651105,284672,476.6547546386719
1652077250.5481393,286720,485.4098815917969
1652077270.1862187,288768,491.4722900390625
1652077290.0740275,290816,490.4248352050781
1652077310.4301627,292864,494.3591003417969
1652077330.4023135,294912,501.4272766113281
1652077350.02111,296960,502.8034362792969
1652077369.7735968,299008,506.1678161621094
1652077389.9562552,301056,500.7749328613281
1652077409.7054155,303104,498.6580505371094
1652077429.7807243,305152,491.60626220703125
1652077449.5235581,307200,490.1518859863281
1652077469.4508278,309248,489.76617431640625
1652077489.5427082,311296,488.5809020996094
1652077509.6824622,313344,487.3275146484375
1652077529.9084969,315392,483.2573547363281
1652077550.6305974,317440,482.2864990234375
1652077572.4096682,319488,472.6259765625
1652077594.8677337,321536,467.63946533203125
1652077617.538415,323584,469.0814514160156
1652077639.408056,325632,468.1303405761719
1652077661.7032988,327680,473.6014099121094
1652077683.5415516,329728,469.627197265625
1652077705.6125283,331776,468.22674560546875
1652077727.6372595,333824,473.8432922363281
1652077749.865137,335872,478.5419921875
1652077772.202625,337920,478.2119445800781
1652077794.8630314,339968,477.1840515136719
1652077817.7034838,342016,473.34295654296875
1652077841.1891706,344064,469.5781555175781
1652077863.8170555,346112,467.6133117675781
1652077886.3068628,348160,468.915283203125
1652077908.3789604,350208,470.34552001953125
1652077930.1751616,352256,468.1318054199219
1652077951.9308934,354304,468.30133056640625
1652077973.3135424,356352,457.6371154785156
1652077994.7676022,358400,448.0387878417969
1652078016.715254,360448,447.02264404296875
1652078038.2402747,362496,451.7436828613281
1652078060.12353,364544,453.3505859375
1652078081.9517004,366592,452.4006652832031
1652078103.4719558,368640,443.60284423828125
1652078127.428053,370688,432.32501220703125
1652078149.412779,372736,430.3536071777344
1652078171.1788437,374784,431.8503112792969
1652078193.1521437,376832,434.2783508300781
1652078215.0251386,378880,425.55242919921875
1652078237.1290386,380928,423.61871337890625
1652078258.4645271,382976,425.23089599609375
1652078280.4505062,385024,426.9490661621094
1652078302.724993,387072,423.4623718261719
1652078324.2325802,389120,421.2847900390625
1652078346.1915956,391168,426.29949951171875
1652078368.1512992,393216,430.83441162109375
1652078389.8522677,395264,444.01873779296875
1652078412.6266594,397312,450.60589599609375
1652078435.4521136,399360,462.10467529296875
1652078457.940638,401408,466.47320556640625
1652078479.4262567,403456,473.6708984375
1652078501.466262,405504,482.6120300292969
1652078523.2330644,407552,481.81915283203125
1652078545.3849387,409600,480.5184631347656
1652078567.1662767,411648,483.7861633300781
1652078589.7497053,413696,490.2392578125
1652078611.6394486,415744,497.5825500488281
1652078634.1561155,417792,504.2937927246094
1652078655.9613554,419840,511.9373779296875
1652078677.638909,421888,513.90283203125
1652078700.111457,423936,519.7799072265625
1652078722.5826318,425984,530.2978515625
1652078745.5331779,428032,535.759521484375
1652078767.6454272,430080,535.1300048828125
1652078790.0472674,432128,535.7242431640625
1652078812.0082827,434176,529.7718505859375
1652078833.9286041,436224,532.8580322265625
1652078855.3127718,438272,540.4732666015625
1652078876.6033862,440320,548.2283325195312
1652078898.0940974,442368,560.9806518554688
1652078920.0242574,444416,564.0367431640625
1652078941.2462244,446464,567.4573974609375
1652078963.327154,448512,565.6151733398438
1652078985.539872,450560,573.1207275390625
1652079006.6926243,452608,574.9684448242188
1652079028.5966976,454656,579.0308837890625
1652079050.008978,456704,588.3683471679688
1652079070.8922327,458752,585.7442016601562
1652079092.273147,460800,576.29736328125
1652079113.1397362,462848,570.7109985351562
1652079135.1891546,464896,571.7797241210938
1652079156.5732841,466944,571.1322631835938
1652079178.7288587,468992,580.8170166015625
1652079201.0183446,471040,585.7183227539062
1652079223.4670985,473088,589.0220947265625
1652079245.0713153,475136,577.6681518554688
1652079267.2975824,477184,573.90771484375
1652079288.7917578,479232,577.046875
1652079310.4516616,481280,569.2642211914062
1652079332.3835683,483328,574.3077392578125
1652079354.434282,485376,575.8467407226562
1652079377.027425,487424,579.6638793945312
1652079398.6360931,489472,577.2472534179688
1652079420.2045112,491520,575.388916015625
1652079442.5412192,493568,568.8854370117188
1652079464.8470044,495616,567.5809936523438
1652079486.4943552,497664,571.7117309570312
1652079509.0664914,499712,574.8121948242188
1652079531.5458937,501760,569.1238403320312
1652079553.6323807,503808,567.1192016601562
1652079575.689728,505856,561.7748413085938
1652079598.2238712,507904,556.287109375
1652079620.63083,509952,557.7714233398438
1652079642.6268404,512000,556.543212890625
1652079665.1540844,514048,557.59130859375
1652079687.8639128,516096,558.8931884765625
1652079710.06469,518144,564.2697143554688
1652079732.182503,520192,556.775146484375
1652079753.6162317,522240,556.0717163085938
1652079775.5102663,524288,548.7554931640625
1652079797.7982538,526336,546.38232421875
1652079819.006091,528384,551.6548461914062
1652079840.8541865,530432,555.2491455078125
1652079862.757256,532480,550.3128662109375
1652079884.029914,534528,545.1226806640625
1652079905.0330663,536576,544.6959228515625
1652079927.0154326,538624,552.5885620117188
1652079948.759852,540672,546.7510986328125
1652079970.9963732,542720,542.8509521484375
1652079992.8213944,544768,538.9585571289062
1652080014.5771112,546816,538.8961181640625
1652080036.1690145,548864,545.8983764648438
1652080057.780245,550912,551.3215942382812
1652080080.1917107,552960,558.2601928710938
1652080102.0889356,555008,548.6685791015625
1652080124.0010278,557056,553.84423828125
1652080145.8913994,559104,557.803955078125
1652080168.2539997,561152,561.1727294921875
1652080190.1229446,563200,562.851318359375
1652080212.2046125,565248,562.8231201171875
1652080234.1718245,567296,559.4609375
1652080256.3717835,569344,560.8111572265625
1652080277.6547449,571392,564.2282104492188
1652080297.098239,573440,572.7728271484375
