Wall time,Step,Value
1652089842.6056042,2048,-58.95270538330078
1652089871.0694473,4096,-57.66233444213867
1652089899.5349233,6144,-56.186187744140625
1652089929.0874007,8192,-52.7127685546875
1652089959.3673234,10240,-50.77288818359375
1652089988.5643713,12288,-49.755680084228516
1652090018.0094986,14336,-49.877559661865234
1652090049.0343378,16384,-48.30271911621094
1652090078.5732827,18432,-45.43716049194336
1652090106.7251024,20480,-45.623085021972656
1652090134.4077337,22528,-46.500423431396484
1652090162.2073138,24576,-47.59629821777344
1652090193.0238116,26624,-48.00214385986328
1652090224.1239321,28672,-48.469295501708984
1652090254.5721054,30720,-47.86500549316406
1652090281.8612323,32768,-46.20410919189453
1652090309.103538,34816,-46.48423767089844
1652090335.7330382,36864,-46.41500473022461
1652090362.1851034,38912,-51.56927490234375
1652090388.781094,40960,-53.14169692993164
1652090415.561832,43008,-52.718910217285156
1652090441.9822438,45056,-52.710086822509766
1652090468.4516525,47104,-51.40765380859375
1652090494.7825303,49152,-54.19117736816406
1652090521.0143473,51200,-53.73213195800781
1652090547.4333029,53248,-54.114158630371094
1652090574.3211944,55296,-57.1501350402832
1652090600.9939547,57344,-54.90056228637695
1652090627.4410582,59392,-54.18759536743164
1652090653.751209,61440,-56.68824768066406
1652090680.1776204,63488,-57.243343353271484
1652090706.9588332,65536,-57.79774856567383
1652090733.576105,67584,-59.08293151855469
1652090759.5682232,69632,-58.594146728515625
1652090786.0867722,71680,-58.390079498291016
1652090812.3427541,73728,-58.0710563659668
1652090838.8862357,75776,-58.1246337890625
1652090865.719744,77824,-58.22091293334961
1652090892.3305914,79872,-57.85431671142578
1652090918.7241201,81920,-57.46079635620117
1652090945.9028904,83968,-56.8847541809082
1652090972.8392158,86016,-55.95227813720703
1652090998.9767158,88064,-55.4896354675293
1652091023.0462148,90112,-55.32088851928711
1652091047.0155096,92160,-54.5367317199707
1652091071.4848995,94208,-54.3213005065918
1652091094.9116342,96256,-53.884605407714844
1652091121.823101,98304,-53.873939514160156
1652091149.0564408,100352,-53.28611373901367
1652091173.9487827,102400,-53.105140686035156
1652091198.003733,104448,-52.765010833740234
1652091225.4295726,106496,-53.18852233886719
1652091250.0375574,108544,-53.096282958984375
1652091273.943977,110592,-52.51637268066406
1652091297.1558778,112640,-52.296600341796875
1652091320.2231276,114688,-52.1891975402832
1652091346.6072094,116736,-52.042816162109375
1652091373.3635333,118784,-51.478633880615234
1652091397.1647224,120832,-51.1788330078125
1652091421.6631694,122880,-50.773765563964844
1652091444.6281016,124928,-51.359256744384766
1652091468.1337912,126976,-51.133426666259766
1652091492.0727754,129024,-50.95431137084961
1652091514.989478,131072,-50.52558898925781
1652091539.859478,133120,-49.847660064697266
1652091562.619148,135168,-49.2607421875
1652091583.9847758,137216,-48.022857666015625
1652091605.7801433,139264,-47.6953125
1652091627.104115,141312,-48.27571105957031
1652091649.7146053,143360,-48.71015167236328
1652091671.8311224,145408,-46.95293426513672
1652091694.2547364,147456,-45.679664611816406
1652091716.7748835,149504,-46.662940979003906
1652091739.3702433,151552,-46.256011962890625
1652091762.5330272,153600,-45.327449798583984
1652091786.1857781,155648,-46.92491149902344
1652091808.390001,157696,-46.55857467651367
1652091829.4921215,159744,-45.444942474365234
1652091851.0019696,161792,-45.26213455200195
1652091872.478268,163840,-44.67913055419922
1652091893.8567266,165888,-43.90910339355469
1652091915.1773386,167936,-42.428993225097656
1652091935.9841156,169984,-41.98516082763672
1652091957.5129538,172032,-41.67619705200195
1652091979.864149,174080,-41.67375946044922
1652092001.8330958,176128,-41.33836364746094
1652092024.0077076,178176,-41.04356002807617
1652092045.0449278,180224,-40.436100006103516
1652092066.5335379,182272,-39.84668731689453
1652092088.0769544,184320,-40.80695724487305
1652092110.2634065,186368,-41.151710510253906
1652092132.0481067,188416,-42.56830596923828
1652092153.732218,190464,-41.82590866088867
1652092175.0360372,192512,-42.2691650390625
1652092196.9284098,194560,-41.88087463378906
1652092218.7675688,196608,-41.433013916015625
1652092240.7280333,198656,-41.378299713134766
1652092262.6729605,200704,-41.495201110839844
1652092284.758292,202752,-41.190895080566406
1652092306.4159915,204800,-40.900718688964844
1652092327.8278904,206848,-41.27607727050781
1652092349.7124438,208896,-41.00151824951172
1652092373.230619,210944,-40.80317687988281
1652092395.3216472,212992,-40.42781066894531
1652092416.8474371,215040,-40.05903244018555
1652092438.4474182,217088,-39.19027328491211
1652092460.1478639,219136,-39.076141357421875
1652092481.6505897,221184,-39.786190032958984
1652092502.957848,223232,-38.783897399902344
1652092524.1794324,225280,-39.032962799072266
1652092545.4385138,227328,-39.045753479003906
1652092566.855596,229376,-38.9720344543457
1652092588.9014823,231424,-39.32173538208008
1652092610.8406954,233472,-38.610443115234375
1652092632.7872205,235520,-38.4077033996582
1652092655.1585035,237568,-37.85687255859375
1652092676.6018465,239616,-37.23458480834961
1652092698.4792717,241664,-36.686424255371094
1652092719.9817874,243712,-36.16313171386719
1652092741.852008,245760,-36.59241485595703
1652092763.5112906,247808,-36.568092346191406
1652092785.4112053,249856,-35.57927322387695
1652092807.7063813,251904,-34.274505615234375
1652092829.9236429,253952,-33.38628387451172
1652092851.8412035,256000,-32.8194694519043
1652092875.2462468,258048,-32.57035827636719
1652092898.725593,260096,-32.161678314208984
1652092922.7496614,262144,-31.017885208129883
1652092946.0550387,264192,-31.323646545410156
1652092969.431758,266240,-32.359474182128906
1652092992.7063794,268288,-32.30815124511719
1652093015.6068468,270336,-32.08030700683594
1652093037.960924,272384,-31.656814575195312
1652093060.0657635,274432,-32.44140625
